iter	RMSE
0	15.35385756
1	14.53844839
2	13.82008985
3	13.20856587
4	12.62259819
5	12.15377788
6	11.69831055
7	11.15756894
8	10.716819
9	10.31082922
10	9.864919252
11	9.489583664
12	9.17760787
13	8.878438204
14	8.53624245
15	8.191588358
16	7.940827105
17	7.706610011
18	7.466995523
19	7.282181803
20	7.078354119
21	6.91596453
22	6.73551474
23	6.57538637
24	6.413475948
25	6.29092051
26	6.179176167
27	6.062622561
28	5.937361315
29	5.826133965
30	5.743079535
31	5.654655809
32	5.554511612
33	5.474050003
34	5.386840189
35	5.294841692
36	5.230062454
37	5.174979039
38	5.113670081
39	5.050371747
40	5.002992474
41	4.972183822
42	4.911284325
43	4.875465366
44	4.831189048
45	4.776680944
46	4.726438763
47	4.688054823
48	4.647326825
49	4.598550586
50	4.567320362
51	4.52612276
52	4.486284263
53	4.435585221
54	4.392934266
55	4.37249711
56	4.335874619
57	4.304141983
58	4.279663424
59	4.253784191
60	4.224316163
61	4.200167693
62	4.180819879
63	4.154707938
64	4.131376844
65	4.121997519
66	4.105238761
67	4.076564265
68	4.045168392
69	4.034687066
70	4.015334311
71	4.009569104
72	3.990664189
73	3.981886436
74	3.962903289
75	3.948270934
76	3.93446391
77	3.909052635
78	3.885965733
79	3.865305669
80	3.832792337
81	3.81970984
82	3.790771361
83	3.765829757
84	3.747973108
85	3.719090616
86	3.704600967
87	3.695562734
88	3.672788478
89	3.660317696
90	3.637790079
91	3.62720618
92	3.625960692
93	3.603849531
94	3.589640282
95	3.569400565
96	3.529786567
97	3.514338421
98	3.502267183
99	3.483034369
