iter	Passed	Remaining
0	0	81
1	1	74
2	2	70
3	2	67
4	3	65
5	4	64
6	4	63
7	5	62
8	6	60
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	10	58
15	10	57
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	50
24	16	50
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	22	42
35	23	42
36	24	41
37	25	40
38	25	40
39	26	40
40	27	39
41	28	39
42	29	38
43	30	38
44	30	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	48	19
72	49	18
73	50	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
