iter	RMSE
0	14.48288304
1	14.10450297
2	13.75505398
3	13.39093986
4	13.05325864
5	12.75579794
6	12.44985859
7	12.18018459
8	11.89464107
9	11.61503523
10	11.32862332
11	11.08774268
12	10.83696229
13	10.59858143
14	10.36007712
15	10.11736095
16	9.909020697
17	9.700749493
18	9.497132892
19	9.308296093
20	9.167792557
21	8.998843861
22	8.843199843
23	8.674952026
24	8.524786592
25	8.384709893
26	8.252178837
27	8.12420966
28	8.005411615
29	7.883375817
30	7.781850896
31	7.674400638
32	7.566724357
33	7.470001261
34	7.369474188
35	7.272757564
36	7.17699329
37	7.103695637
38	7.023972839
39	6.95249704
40	6.87129092
41	6.801045663
42	6.731703101
43	6.673098578
44	6.609525465
45	6.553992985
46	6.493095824
47	6.436588077
48	6.381194724
49	6.326982719
50	6.280786035
51	6.2317895
52	6.184717985
53	6.139681564
54	6.094266985
55	6.055498192
56	6.017515532
57	5.986720346
58	5.953634307
59	5.922814115
60	5.894776529
61	5.865712709
62	5.836038076
63	5.804018912
64	5.773120686
65	5.744694124
66	5.721389541
67	5.696277761
68	5.669827419
69	5.643143933
70	5.622333993
71	5.604035916
72	5.586699722
73	5.566784528
74	5.551958531
75	5.534806698
76	5.518396982
77	5.497333204
78	5.477793491
79	5.462358916
80	5.447680804
81	5.436700975
82	5.42311314
83	5.409813471
84	5.396120361
85	5.382868781
86	5.373702136
87	5.362439133
88	5.349299754
89	5.339109767
90	5.330221546
91	5.320767156
92	5.31192633
93	5.305225571
94	5.295431892
95	5.287161119
96	5.277686689
97	5.277126381
98	5.269274404
99	5.258814562
100	5.248215487
101	5.237044521
102	5.22754527
103	5.219026536
104	5.21520446
105	5.207374014
106	5.20020026
107	5.190937213
108	5.181961487
109	5.172431141
110	5.16168358
111	5.155534034
112	5.148434561
113	5.142165817
114	5.136749593
115	5.130354301
116	5.124913188
117	5.120306453
118	5.114869033
119	5.110081804
120	5.106213669
121	5.101850927
122	5.095659907
123	5.085051607
124	5.081803696
125	5.076101002
126	5.070341076
127	5.066129785
128	5.060217583
129	5.055839915
130	5.052547731
131	5.048024923
132	5.044056081
133	5.039646336
134	5.032254144
135	5.027994295
136	5.020209298
137	5.017104148
138	5.013210283
139	5.007890843
140	5.00201277
141	4.995936099
142	4.989626565
143	4.983819932
144	4.976642371
145	4.970626165
146	4.965969219
147	4.960272131
148	4.952774638
149	4.944674544
150	4.939776146
151	4.937053729
152	4.931934275
153	4.929128565
154	4.926653927
155	4.922404982
156	4.917518033
157	4.915150599
158	4.909286855
159	4.904051034
160	4.900620587
161	4.896003483
162	4.892636419
163	4.890704832
164	4.886944152
165	4.884283642
166	4.881008356
167	4.874439016
168	4.870200844
169	4.864090745
170	4.85781461
171	4.852519445
172	4.848249262
173	4.843560272
174	4.84017908
175	4.837245018
176	4.835641677
177	4.832082477
178	4.827797667
179	4.823405745
180	4.817593334
181	4.813911157
182	4.810101789
183	4.804532772
184	4.801301183
185	4.794838589
186	4.790351343
187	4.787041415
188	4.78196107
189	4.778065273
190	4.773206292
191	4.769232221
192	4.763735978
193	4.758682723
194	4.753229109
195	4.746664108
196	4.741608295
197	4.738931004
198	4.737498102
199	4.733485555
200	4.729728234
201	4.725978055
202	4.724620271
203	4.721271993
204	4.719968408
205	4.717539367
206	4.712264481
207	4.707992625
208	4.706580394
209	4.702782753
210	4.698465757
211	4.694079472
212	4.692369777
213	4.685377914
214	4.682793929
215	4.677428092
216	4.671282505
217	4.669291593
218	4.665669851
219	4.663271039
220	4.66131863
221	4.658110027
222	4.654538812
223	4.652743218
224	4.647446591
225	4.643816175
226	4.641648981
227	4.639756211
228	4.634681222
229	4.632411897
230	4.631692982
231	4.630981632
232	4.630304905
233	4.629477733
234	4.626439849
235	4.622714121
236	4.618056039
237	4.617518825
238	4.617077213
239	4.61182284
240	4.610468545
241	4.609886186
242	4.605741038
243	4.605297004
244	4.603008728
245	4.602245879
246	4.598382549
247	4.595341973
248	4.590105248
249	4.589548867
250	4.585141979
251	4.578895383
252	4.572782366
253	4.570230908
254	4.56655801
255	4.562143353
256	4.560450601
257	4.55778178
258	4.554452648
259	4.549390798
260	4.542802528
261	4.53690412
262	4.534750085
263	4.534029435
264	4.533194691
265	4.530932789
266	4.526323085
267	4.520886398
268	4.520061243
269	4.51536444
270	4.511972325
271	4.511298243
272	4.509634964
273	4.509112529
274	4.508477611
275	4.507851234
276	4.503828824
277	4.500328928
278	4.493939687
279	4.491384342
280	4.488038304
281	4.485740204
282	4.48143829
283	4.480560691
284	4.477577957
285	4.477070962
286	4.473463534
287	4.469218494
288	4.46563411
289	4.464573169
290	4.463883539
291	4.459147426
292	4.458860477
293	4.452571673
294	4.448317185
295	4.44787372
296	4.445838584
297	4.444134036
298	4.44237895
299	4.44162539
300	4.439762043
301	4.434335538
302	4.433797956
303	4.428843265
304	4.425612502
305	4.424447395
306	4.420720338
307	4.416423983
308	4.411535319
309	4.409572455
310	4.408227776
311	4.403499235
312	4.397177693
313	4.394510907
314	4.389546969
315	4.385271627
316	4.379854444
317	4.379351434
318	4.3768673
319	4.37414444
320	4.371334128
321	4.370583169
322	4.367194203
323	4.362936683
324	4.359960048
325	4.355910623
326	4.351336841
327	4.348887883
328	4.348533416
329	4.345874476
330	4.341146994
331	4.338666753
332	4.336418863
333	4.332230425
334	4.328836468
335	4.324909123
336	4.322029093
337	4.318320789
338	4.312217277
339	4.309466144
340	4.306919671
341	4.305003439
342	4.300312599
343	4.298905702
344	4.298438578
345	4.296058063
346	4.291312368
347	4.286386867
348	4.282644024
349	4.279861851
350	4.278500251
351	4.278236248
352	4.276312181
353	4.27355624
354	4.268613223
355	4.263146778
356	4.262237683
357	4.255853953
358	4.255645283
359	4.251678832
360	4.24934825
361	4.24726278
362	4.243627648
363	4.242340267
364	4.23902465
365	4.238743311
366	4.238512417
367	4.234698523
368	4.22897366
369	4.226984426
370	4.225084686
371	4.223559507
372	4.219684938
373	4.218098326
374	4.215613467
375	4.21257197
376	4.211010466
377	4.207167871
378	4.201554463
379	4.198410664
380	4.192099489
381	4.189416029
382	4.185962855
383	4.180728574
384	4.175341926
385	4.175128309
386	4.171715412
387	4.171474478
388	4.167928447
389	4.165032414
390	4.164413417
391	4.162821728
392	4.158222324
393	4.156342637
394	4.155604579
395	4.150993908
396	4.149563739
397	4.149072773
398	4.1481697
399	4.144878796
400	4.140353912
401	4.139484335
402	4.137830028
403	4.133071109
404	4.12869211
405	4.127222858
406	4.122250197
407	4.118057058
408	4.115329891
409	4.114562044
410	4.112060472
411	4.107374802
412	4.104790431
413	4.104370847
414	4.100799207
415	4.099347733
416	4.093963628
417	4.091200481
418	4.09024609
419	4.08444305
420	4.080913963
421	4.076873383
422	4.072796573
423	4.07123636
424	4.070525584
425	4.067188531
426	4.064639597
427	4.063092204
428	4.060709042
429	4.057456064
430	4.05341777
431	4.051969289
432	4.049011548
433	4.047717975
434	4.043219581
435	4.041902594
436	4.039568828
437	4.036547919
438	4.033527342
439	4.03171278
440	4.027233117
441	4.024227197
442	4.022717119
443	4.018539679
444	4.016070723
445	4.014925063
446	4.013343978
447	4.01164114
448	4.010550121
449	4.007636752
450	4.004554416
451	4.002510309
452	3.996723885
453	3.994312957
454	3.990074065
455	3.985079592
456	3.982337179
457	3.98036233
458	3.976036275
459	3.97570394
460	3.971517701
461	3.968610601
462	3.965231288
463	3.963121697
464	3.96170862
465	3.961219474
466	3.959002389
467	3.957037695
468	3.953119894
469	3.949311448
470	3.946901108
471	3.946564052
472	3.943506498
473	3.938827011
474	3.935014056
475	3.932137073
476	3.928373208
477	3.926343303
478	3.925225606
479	3.923067816
480	3.921446708
481	3.918043397
482	3.917875154
483	3.915877591
484	3.913136307
485	3.912069053
