iter	Passed	Remaining
0	121	121460
1	122	60921
2	122	40726
3	123	30630
4	123	24578
5	123	20538
6	124	17651
7	124	15487
8	125	13804
9	125	12460
10	126	11381
11	127	10466
12	127	9687
13	128	9020
14	128	8441
15	129	7934
16	129	7486
17	129	7088
18	130	6732
19	130	6410
20	131	6121
21	131	5857
22	132	5617
23	132	5398
24	133	5200
25	133	5017
26	134	4845
27	134	4683
28	135	4533
29	135	4395
30	136	4266
31	136	4142
32	137	4026
33	137	3917
34	138	3813
35	138	3715
36	139	3623
37	139	3538
38	140	3459
39	140	3382
40	141	3307
41	141	3237
42	142	3169
43	142	3104
44	143	3042
45	143	2982
46	144	2925
47	144	2870
48	145	2817
49	145	2767
50	146	2718
51	146	2675
52	147	2631
53	147	2588
54	148	2546
55	148	2506
56	149	2467
57	149	2429
58	150	2393
59	150	2357
60	150	2323
61	151	2290
62	151	2258
63	152	2227
64	152	2196
65	153	2167
66	153	2140
67	154	2115
68	154	2088
69	155	2062
70	155	2037
71	156	2012
72	156	1988
73	157	1965
74	157	1942
75	157	1920
76	158	1898
77	158	1877
78	159	1856
79	159	1836
80	160	1816
81	160	1795
82	160	1777
83	161	1760
84	162	1744
85	162	1732
86	163	1715
87	164	1699
88	164	1683
89	164	1667
90	165	1651
91	165	1636
92	166	1621
93	166	1606
94	167	1592
95	167	1578
96	168	1564
97	168	1549
98	169	1539
99	169	1526
100	170	1513
101	170	1501
102	170	1488
103	171	1476
104	171	1463
105	172	1451
106	172	1440
107	173	1429
108	173	1418
109	173	1407
110	174	1396
111	174	1386
112	175	1376
113	176	1368
114	176	1359
115	177	1349
116	177	1341
117	178	1336
118	179	1327
119	180	1325
120	181	1319
121	182	1310
122	182	1302
123	183	1295
124	184	1290
125	184	1282
126	185	1274
127	185	1266
128	186	1258
129	186	1249
130	187	1241
131	187	1233
132	188	1225
133	188	1218
134	188	1210
135	189	1203
136	189	1195
137	190	1190
138	191	1183
139	191	1176
140	192	1169
141	192	1163
142	192	1156
143	193	1149
144	193	1142
145	194	1136
146	194	1129
147	195	1123
148	195	1117
149	196	1111
150	196	1104
151	196	1098
152	197	1093
153	198	1088
154	198	1083
155	199	1077
156	199	1071
157	200	1066
158	200	1060
159	200	1054
160	201	1049
161	201	1044
162	202	1038
163	202	1032
164	203	1027
165	203	1022
166	203	1017
167	204	1012
168	205	1008
169	205	1003
170	206	998
171	206	994
172	207	989
173	207	985
174	207	980
175	208	975
176	208	971
177	209	966
178	209	962
179	210	957
180	210	953
181	211	948
182	211	944
183	212	940
184	212	937
185	213	932
186	213	928
187	214	924
188	214	920
189	214	916
190	215	912
191	215	908
192	216	904
193	216	900
194	217	896
195	217	892
196	218	888
197	218	885
198	218	881
199	219	878
200	220	875
201	220	871
202	220	867
203	221	863
204	221	859
205	222	856
206	222	852
207	223	849
208	223	845
209	223	842
210	224	839
211	224	835
212	225	832
213	225	829
214	226	825
215	226	823
216	227	820
217	227	817
218	228	814
219	228	811
220	229	808
221	229	805
222	230	802
223	230	799
224	231	796
225	231	793
226	232	790
227	232	787
228	233	784
229	233	781
230	234	779
231	234	776
232	235	773
233	235	771
234	236	768
235	236	765
236	236	762
237	237	759
238	237	757
239	238	754
240	238	751
241	239	748
242	239	746
243	240	743
244	240	740
245	240	738
246	241	736
247	241	733
248	242	731
249	242	728
250	243	726
251	243	723
252	244	721
253	244	718
254	245	716
255	245	713
256	246	711
257	246	708
258	246	706
259	247	704
260	247	701
261	248	699
262	248	697
263	249	695
264	249	692
265	250	690
266	250	688
267	251	686
268	251	683
269	252	681
270	252	679
271	252	677
272	253	674
273	253	672
274	254	670
275	254	667
276	255	665
277	255	663
278	256	662
279	256	660
280	257	658
281	257	655
282	258	653
283	258	651
284	258	649
285	259	647
286	259	645
287	260	643
288	260	641
289	261	639
290	261	637
291	262	635
292	262	633
293	263	631
294	263	630
295	264	628
296	264	626
297	265	624
298	265	622
299	266	620
300	266	619
301	267	617
302	267	615
303	268	613
304	268	611
305	268	609
306	269	608
307	269	606
308	270	604
309	271	603
310	271	601
311	272	600
312	272	598
313	273	597
314	273	595
315	274	593
316	274	591
317	275	589
318	275	588
319	276	586
320	276	584
321	277	583
322	277	581
323	278	580
324	278	578
325	279	577
326	279	575
327	280	573
328	280	572
329	280	570
330	281	568
331	281	567
332	282	565
333	282	563
334	283	562
335	283	560
336	284	559
337	284	557
338	285	556
339	285	554
340	286	553
341	286	551
342	287	550
343	287	548
344	288	547
345	288	545
346	289	544
347	289	542
348	290	541
349	290	539
350	291	538
351	291	536
352	291	535
353	292	533
354	293	532
355	293	531
356	294	529
357	294	528
358	295	526
359	295	525
360	295	523
